ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,KH-2.54PH180-1X2P-L11.5,H2,HDR-TH_2P-P2.54-V-M,1,KH-2.54PH180-1X2P-L11.5,kinghelm(???),LCSC,C2905434,0.018
2,HDR-M-2.54_1x10,H1,HDR-M-2.54_1X10,1,,,LCSC,C57369,0.045
3,3k?,"R57,R145",R0603 COPY - NO SILK,2,0603WAF3001T5E,UNI-ROYAL(??),LCSC,C4211,0.001
4,2k?,"R61,R3",R0402 COPY - NO SILK,2,0402WGF2001TCE,UNI-ROYAL(??),LCSC,C4109,0.001
5,5.1k?,"R204,R265",R0402 COPY - NO SILK,2,0402WGF5101TCE,UNI-ROYAL(??),LCSC,C25905,0.001
6,100nF,"C1,C3",C0603 COPY - NO SILK,2,CC0603KRX7R9BB104,YAGEO,LCSC,C14663,0.002
7,1uF,C2,C0603 COPY - NO SILK,1,CL10A105KB8NNNC,SAMSUNG(??),LCSC,C15849,0.005
8,1N5819WS,"D1,D2",SOD-323_L1.8-W1.3-LS2.5-RD COPY - NO SILK,2,1N5819WS,Hottech(???),LCSC,C191023,0.012
9,10k?,R4,R0402 COPY - NO SILK,1,0402WGF1002TCE,UNI-ROYAL(??),LCSC,C25744,0.001
10,470?,R5,R0402 COPY - NO SILK,1,0402WGF4700TCE,UNI-ROYAL(??),LCSC,C25117,0.001
11,MCP6002T-I/SN,U3,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,1,MCP6002T-I/SN,MICROCHIP(????),LCSC,C7377,0.323
