Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
C1,C0603 COPY - NO SILK,10.29mm,11.18mm,10.29mm,11.18mm,10.29mm,10.48mm,B,90,100nF
C2,C0603 COPY - NO SILK,22.73mm,12.07mm,22.73mm,12.07mm,23.43mm,12.07mm,B,180,1uF
C3,C0603 COPY - NO SILK,22.73mm,8.26mm,22.73mm,8.26mm,23.43mm,8.26mm,B,180,100nF
D1,SOD-323_L1.8-W1.3-LS2.5-RD COPY - NO SILK,12.07mm,11.18mm,12.07mm,11.18mm,12.07mm,12.35mm,B,270,1N5819WS
D2,SOD-323_L1.8-W1.3-LS2.5-RD COPY - NO SILK,7.24mm,11.18mm,7.24mm,11.18mm,7.24mm,12.35mm,B,270,1N5819WS
H1,HDR-M-2.54_1X10,13.97mm,1.91mm,13.97mm,1.91mm,2.54mm,1.91mm,B,0,HDR-M-2.54_1x10
H2,HDR-TH_2P-P2.54-V-M,11.43mm,15.49mm,11.43mm,15.49mm,10.16mm,15.49mm,B,0,KH-2.54PH180-1X2P-L11.5
R3,R0402 COPY - NO SILK,8.76mm,11.18mm,8.76mm,11.18mm,8.76mm,11.61mm,B,270,2k?
R4,R0402 COPY - NO SILK,15.88mm,6.73mm,15.88mm,6.73mm,16.31mm,6.73mm,B,180,10k?
R5,R0402 COPY - NO SILK,14.99mm,15.11mm,14.99mm,15.11mm,14.99mm,15.55mm,B,270,470?
R57,R0603 COPY - NO SILK,10.29mm,7.87mm,10.29mm,7.87mm,10.29mm,8.63mm,B,270,3k?
R61,R0402 COPY - NO SILK,13.72mm,6.73mm,13.72mm,6.73mm,14.15mm,6.73mm,B,180,2k?
R145,R0603 COPY - NO SILK,11.94mm,7.87mm,11.94mm,7.87mm,11.94mm,8.63mm,B,270,3k?
R204,R0402 COPY - NO SILK,11.94mm,5.33mm,11.94mm,5.33mm,11.94mm,5.77mm,B,270,5.1k?
R265,R0402 COPY - NO SILK,10.29mm,5.33mm,10.29mm,5.33mm,10.29mm,5.77mm,B,270,5.1k?
U3,SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL,17.02mm,10.16mm,17.02mm,10.16mm,14.25mm,8.26mm,B,90,MCP6002T-I/SN
